Metric,Description,Interpretation_High,Interpretation_Low,Use_Case
Degree,Number of direct collaboration partners for a given organization,Actively collaborating with many organizations; hub organization,Few direct collaborations; peripheral or specialized organization,Identify most active collaborators and potential hubs
Degree_Centrality,Proportion of possible collaborations that are realized (normalized degree),Highly connected relative to network size; central player,Weakly connected; marginal player in the network,Find central organizations for stakeholder engagement
Betweenness_Centrality,Frequency with which a partner lies on shortest paths between others; measures brokerage role,Acts as bridge/broker between different groups; controls information flow,Not a bridge; collaborates within own group; limited brokerage,Identify brokers that could facilitate cross-sector collaboration
Closeness_Centrality,Inverse of average distance to all other partners; measures reach efficiency,Can efficiently reach entire network; good position for spreading information,Far from others on average; limited reach; isolated position,Find partners best positioned to disseminate knowledge/technology
Eigenvector_Centrality,Influence based on connections to other influential partners; measures prestige,Connected to other prestigious/influential organizations; elite status,Connected to less influential partners; not in elite circle,Identify prestigious partners for credibility and influence
Network Density,Proportion of actual edges vs. all possible edges in the network; measures overall interconnectedness,Highly interconnected network; many collaboration opportunities,Sparse network; few collaboration ties; fragmented ecosystem,Assess overall network health and collaboration culture
Clustering Coefficient,Probability that a partner's collaborators also collaborate with each other; measures local cohesion,Tight-knit collaboration groups; partners form closed triangles,Partners' collaborators don't work together; star-like structures,Identify tight-knit groups and ecosystem pockets
Transitivity,Proportion of closed triangles in the network; measures global tendency to cluster,Network has strong tendency to cluster; cohesive ecosystem,Few closed triangles; more tree-like or fragmented structure,Measure overall network cohesion and trust indicators
Modularity,Strength of division into communities (0-1); higher means stronger community structure,Distinct collaboration communities exist; segmented network,Weakly defined communities; more homogeneous collaboration patterns,"Understand if network is divided by sector, region, or ownership"
Diameter,Longest shortest path between any two partners; measures network span,Large network with distant parts; may have peripheral groups,Compact network; all partners relatively close,Assess whether network has disconnected peripheral groups
Average Path Length,Average number of steps between any two partners; measures compactness,Indirect collaborations require many intermediaries; less efficient access,Direct or one-step collaborations common; efficient network,Evaluate ease of collaboration and knowledge transfer
